pwmcount, residuebefore, residueafter,diff,scaling
5,1704,2070,366,0.98271
5,2111,1479,-632,-1.69692
5,1523,2092,569,1.527765
5,2135,2030,-105,-0.281925
5,2073,1653,-420,-1.1277
5,1694,1799,105,0.281925
5,1843,1948,105,0.281925
5,1990,1879,-111,-0.298035
5,1922,1962,40,0.1074
5,2004,1837,-167,-0.448395
5,1879,2140,261,0.700785
5,2183,1920,-263,-0.706155
5,1964,2008,44,0.11814
5,2047,2096,49,0.131565
5,2141,2284,143,0.383955
5,2327,1705,-622,-1.67007
5,1749,1757,8,0.02148
5,1797,2016,219,0.588015
5,2057,2067,10,0.02685
5,2111,2150,39,0.104715
5,2195,2192,-3,-0.008055
5,2235,2074,-161,-0.432285
5,2117,1699,-418,-1.12233
5,1741,1949,208,0.55848
5,1991,1719,-272,-0.73032
5,1759,1657,-102,-0.27387
5,1701,1497,-204,-0.54774
5,1539,1687,148,0.39738
5,1729,2150,421,1.130385
5,2194,2036,-158,-0.42423
5,2079,2386,307,0.824295
5,2429,1739,-690,-1.85265
5,1779,2199,420,1.1277
5,2239,1711,-528,-1.41768
5,1753,2384,631,1.694235
5,2426,1635,-791,-2.123835
5,1677,1885,208,0.55848
5,1928,1923,-5,-0.013425
5,1968,1806,-162,-0.43497
5,1847,1485,-362,-0.97197
5,1527,2361,834,2.23929
5,2403,1827,-576,-1.54656
5,1867,1455,-412,-1.10622
