pwmcount, residuebefore, residueafter,diff
5,2275,1909,-366
5,1931,1743,-188
5,1778,2254,476
5,2301,1692,-609
5,1726,1835,109
5,1869,1883,14
5,1917,2311,394
5,2358,1991,-367
5,2038,1842,-196
5,1877,1841,-36
5,1877,2278,401
5,2325,2281,-44
5,2326,1768,-558
5,1803,2118,315
5,2167,2294,127
5,2338,2084,-254
5,2129,2172,43
5,2220,1608,-612
5,1643,1978,335
5,2025,2029,4
5,2074,1916,-158
5,1937,2101,164
5,2146,2014,-132
5,2061,2107,46
5,2152,1964,-188
5,2010,2004,-6
5,2050,2324,274
5,2372,1464,-908
5,1499,2028,529
5,2074,2128,54
5,2176,1916,-260
5,1937,1704,-233
5,1741,1867,126
5,1902,2010,108
5,2055,1949,-106
5,1995,2105,110
5,2149,1689,-460
5,1725,1735,10
5,1769,2203,434
5,2248,1850,-398
5,1884,2164,280
5,2212,2002,-210
5,2048,2172,124
5,2220,2059,-161
5,2104,1586,-518
5,1623,1847,224
5,1881,1689,-192
5,1725,2033,308
5,2079,1949,-130
5,1995,1848,-147
5,1885,1890,5
5,1924,1920,-4
5,1966,2236,270
5,2281,1682,-599
5,1717,2268,551
5,2318,1807,-511
5,1840,2287,447
5,2336,2128,-208
5,2176,1582,-594
5,1618,1472,-146
5,1508,1721,213
5,1756,1811,55
5,1845,1867,22
5,1901,1645,-256
5,1679,1668,-11
5,1704,2109,405
5,2156,1970,-186
5,2015,2068,53
5,2115,1713,-402
5,1749,2109,360
5,2155,2058,-97
5,2104,1804,-300
5,1839,2264,425
5,2313,1545,-768
5,1580,2246,666
5,2292,1931,-361
5,1978,1806,-172
5,1841,2257,416
5,2304,1849,-455
5,1883,2138,255
5,2184,2174,-10
5,2220,1759,-461
5,1795,1885,90
5,1922,1723,-199
5,1759,2240,481
5,2288,1926,-362
5,1970,1683,-287
5,1717,2187,470
5,2234,1655,-579
5,1691,1659,-32
5,1694,2040,346
5,2084,1839,-245
5,1873,2167,294
5,2214,2006,-208
5,2051,1914,-137
5,1934,1908,-26
5,1928,2069,141
5,2114,1658,-456
5,1694,1753,59
5,1787,2110,323
