voltage,temp,rel time,abs time
+9.03250518E+00,34.321289,343.234,2022-07-03 21:06:18.411287
+9.03250443E+00,34.160156,344.405,2022-07-03 21:06:19.582041
+9.03250558E+00,34.321289,345.568,2022-07-03 21:06:20.744575
+9.03250460E+00,34.160156,346.73,2022-07-03 21:06:21.906656
+9.03250539E+00,34.240723,347.892,2022-07-03 21:06:23.068653
+9.03250614E+00,33.596191,349.055,2022-07-03 21:06:24.231638
+9.03250409E+00,34.321289,350.218,2022-07-03 21:06:25.394544
+9.03250540E+00,34.240723,351.383,2022-07-03 21:06:26.559606
+9.03250553E+00,34.079590,352.553,2022-07-03 21:06:27.729467
+9.03250512E+00,34.240723,353.717,2022-07-03 21:06:28.894291
+9.03250704E+00,34.240723,354.889,2022-07-03 21:06:30.065905
+9.03250548E+00,34.321289,356.06,2022-07-03 21:06:31.236552
+9.03250439E+00,34.321289,357.222,2022-07-03 21:06:32.399319
+9.03250680E+00,34.240723,358.385,2022-07-03 21:06:33.562033
+9.03250675E+00,34.482422,359.548,2022-07-03 21:06:34.724903
+9.03250487E+00,34.321289,360.71,2022-07-03 21:06:35.887313
+9.03250648E+00,34.240723,361.873,2022-07-03 21:06:37.049597
+9.03250519E+00,34.240723,363.036,2022-07-03 21:06:38.213006
+9.03250788E+00,34.160156,364.209,2022-07-03 21:06:39.385718
+9.03250771E+00,34.240723,365.37,2022-07-03 21:06:40.547423
+9.03250696E+00,34.240723,366.533,2022-07-03 21:06:41.709528
+9.03250776E+00,34.401855,367.694,2022-07-03 21:06:42.870938
+9.03250460E+00,34.240723,368.857,2022-07-03 21:06:44.034352
+9.03250563E+00,35.046387,370.021,2022-07-03 21:06:45.198164
+9.03250590E+00,34.401855,371.193,2022-07-03 21:06:46.369533
+9.03250742E+00,34.240723,372.355,2022-07-03 21:06:47.532374
+9.03250675E+00,33.757324,373.517,2022-07-03 21:06:48.693948
+9.03250768E+00,34.321289,374.68,2022-07-03 21:06:49.857570
+9.03250595E+00,34.240723,375.842,2022-07-03 21:06:51.019344
+9.03250588E+00,34.240723,377.005,2022-07-03 21:06:52.182330
+9.03250704E+00,34.240723,378.169,2022-07-03 21:06:53.345699
+9.03250657E+00,34.240723,379.329,2022-07-03 21:06:54.506016
+9.03250680E+00,34.321289,380.492,2022-07-03 21:06:55.668540
+9.03250528E+00,34.160156,381.654,2022-07-03 21:06:56.831003
+9.03250406E+00,34.321289,382.817,2022-07-03 21:06:57.994241
+9.03250522E+00,34.240723,383.979,2022-07-03 21:06:59.156435
+9.03250638E+00,33.999023,385.144,2022-07-03 21:07:00.320446
+9.03250532E+00,34.401855,386.315,2022-07-03 21:07:01.492206
+9.03250723E+00,34.321289,387.477,2022-07-03 21:07:02.653603
+9.03250839E+00,34.240723,388.639,2022-07-03 21:07:03.815535
+9.03250599E+00,34.321289,389.804,2022-07-03 21:07:04.981385
+9.03250608E+00,34.321289,390.976,2022-07-03 21:07:06.152995
+9.03250621E+00,34.240723,392.147,2022-07-03 21:07:07.323453
+9.03250679E+00,34.643555,393.309,2022-07-03 21:07:08.486133
+9.03250732E+00,34.240723,394.471,2022-07-03 21:07:09.648150
+9.03250793E+00,34.321289,395.634,2022-07-03 21:07:10.811053
+9.03250681E+00,34.240723,396.797,2022-07-03 21:07:11.973729
+9.03250704E+00,34.321289,397.958,2022-07-03 21:07:13.135350
+9.03250630E+00,34.321289,399.121,2022-07-03 21:07:14.298263
+9.03250688E+00,34.482422,400.284,2022-07-03 21:07:15.461373
+9.03250804E+00,34.240723,401.446,2022-07-03 21:07:16.622930
+9.03250802E+00,34.321289,402.61,2022-07-03 21:07:17.786557
+9.03250922E+00,34.321289,403.771,2022-07-03 21:07:18.948058
+9.03250876E+00,33.676758,404.936,2022-07-03 21:07:20.112545
+9.03250809E+00,34.562988,406.106,2022-07-03 21:07:21.283107
+9.03250858E+00,34.321289,407.269,2022-07-03 21:07:22.446246
+9.03250664E+00,34.240723,408.433,2022-07-03 21:07:23.610581
+9.03250758E+00,34.321289,409.605,2022-07-03 21:07:24.782416
+9.03250820E+00,34.321289,410.768,2022-07-03 21:07:25.944458
+9.03250818E+00,33.596191,411.929,2022-07-03 21:07:27.106281
+9.03250738E+00,34.401855,413.091,2022-07-03 21:07:28.268174
+9.03250631E+00,34.321289,414.255,2022-07-03 21:07:29.431648
+9.03250601E+00,34.401855,415.418,2022-07-03 21:07:30.594468
+9.03250752E+00,34.562988,416.579,2022-07-03 21:07:31.756422
+9.03250786E+00,34.562988,417.742,2022-07-03 21:07:32.918469
+9.03250902E+00,34.482422,418.904,2022-07-03 21:07:34.081305
+9.03251075E+00,34.562988,420.066,2022-07-03 21:07:35.243295
+9.03250989E+00,34.643555,421.23,2022-07-03 21:07:36.406706
+9.03251002E+00,34.643555,422.392,2022-07-03 21:07:37.569022
+9.03250895E+00,34.562988,423.555,2022-07-03 21:07:38.731937
+9.03250812E+00,34.643555,424.716,2022-07-03 21:07:39.893390
+9.03250830E+00,34.482422,425.879,2022-07-03 21:07:41.056142
+9.03250884E+00,34.643555,427.042,2022-07-03 21:07:42.219010
+9.03250798E+00,34.643555,428.204,2022-07-03 21:07:43.381420
+9.03250963E+00,34.562988,429.368,2022-07-03 21:07:44.544533
+9.03251031E+00,34.562988,430.53,2022-07-03 21:07:45.706711
+9.03251044E+00,34.562988,431.692,2022-07-03 21:07:46.868856
+9.03250901E+00,34.240723,432.854,2022-07-03 21:07:48.030617
+9.03250834E+00,34.643555,434.017,2022-07-03 21:07:49.194061
+9.03250878E+00,34.804688,435.179,2022-07-03 21:07:50.356396
+9.03250700E+00,34.562988,436.343,2022-07-03 21:07:51.520011
+9.03250799E+00,34.643555,437.505,2022-07-03 21:07:52.682436
+9.03250883E+00,34.885254,438.667,2022-07-03 21:07:53.844788
+9.03251031E+00,34.321289,439.83,2022-07-03 21:07:55.006841
+9.03251074E+00,34.724121,440.993,2022-07-03 21:07:56.169841
+9.03251079E+00,34.562988,442.154,2022-07-03 21:07:57.331379
+9.03250968E+00,34.240723,443.316,2022-07-03 21:07:58.493336
+9.03251057E+00,34.885254,444.478,2022-07-03 21:07:59.655342
+9.03251097E+00,34.401855,445.641,2022-07-03 21:08:00.817951
+9.03251072E+00,34.804688,446.804,2022-07-03 21:08:01.980921
+9.03251126E+00,34.643555,447.966,2022-07-03 21:08:03.142903
+9.03251242E+00,34.643555,449.128,2022-07-03 21:08:04.304964
+9.03251048E+00,34.643555,450.291,2022-07-03 21:08:05.467991
+9.03251142E+00,34.804688,451.454,2022-07-03 21:08:06.630697
+9.03251151E+00,34.965820,452.617,2022-07-03 21:08:07.793516
+9.03251061E+00,34.804688,453.778,2022-07-03 21:08:08.954927
+9.03251052E+00,34.562988,454.94,2022-07-03 21:08:10.117268
+9.03250962E+00,34.643555,456.103,2022-07-03 21:08:11.279861
+9.03251033E+00,34.643555,457.266,2022-07-03 21:08:12.443237
+9.03251158E+00,34.562988,458.444,2022-07-03 21:08:13.621410
+9.03251093E+00,34.643555,459.611,2022-07-03 21:08:14.788119
+9.03251115E+00,34.804688,460.773,2022-07-03 21:08:15.949876
